Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,MLB,328018,Eduardo Valencia,C,DET,Hitter Fantasy Score,4.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Eduardo_Valencia_MLB_player_sH5UT61H5j3iSgkCGi9vetcN-450.webp,13785553,,,,,,Push,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,0.61,,0,,14.07,,6.39,0,Push
PrizePicks,MLB,323131,Braden Montgomery,OF,CWS,Hitter Fantasy Score,4.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Braden Montgomery.png,13785559,,,,,,Over,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.320,8/4/2026,Day-To-Day,Aug 2: The White Sox scratched Montgomery from the lineup for Sunday's game against the Rays.,No,CHWDET,5.32,2.41,51.89593142,48.10406858,51.89593142,5.32,,0,,5.25,,5.09,5.27,Great Bet
PrizePicks,MLB,325368,Ben Malgeri,OF,DET,Hitter Fantasy Score,3.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/BenMalgeri.webp,13785535,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.980,,,,No,CWS,4.98,2.36,53.86925616,46.13074384,53.86925616,4.98,23,-0.01345,under,6.37,4.966548,4.95,-0.26,Great Bet
PrizePicks,MLB,233407,Gleyber Torres,IF,DET,Hitter Fantasy Score,3.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,goblin,https://static.prizepicks.com/images/players/MLB/Gleyber_Torres_MLB_player_b1eZdNNzVgo5E5NtEPbqDT5E-450.webp,13785552,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.890,,,,No,CWS,5.89,2.58,55.64511733,44.35488267,55.64511733,5.89,23,-0.01471,under,5.78,5.875294,5.91,6.08,Great Bet
PrizePicks,MLB,314184,Sam Antonacci,OF,CWS,Hitter Fantasy Score,3.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,goblin,https://static.prizepicks.com/images/manual/Sam_Antonacci.png,13785558,,,,,,Over,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.840,,,,No,CHWDET,5.84,2.56,55.56562206,44.43437794,55.56562206,5.84,,0,,6.17,,5.78,5.33,Great Bet
PrizePicks,MLB,310369,Tristan Peters,OF,CWS,Hitter Fantasy Score,3.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Tristan_Peters.png,13785565,,,,,,Over,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.660,,,,No,CHWDET,4.66,2.32,53.0662595,46.9337405,53.0662595,4.66,,0,,5.29,,4.48,-0.12,Great Bet
PrizePicks,MLB,191208,Dillon Dingler,C,DET,Hitter Fantasy Score,3.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,goblin,https://static.prizepicks.com/images/players/MLB/Francis_Dingler_MLB_player_mVau03uxSwBdvCsJlJSOMSn1-450.webp,13785570,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,6.590,,,,No,CWS,6.59,2.92,56.56992297,43.43007703,56.56992297,6.59,23,-0.01664,under,7.45,6.573356,6.72,6.27,Great Bet
PrizePicks,MLB,67494,Javier Báez,IF,DET,Hitter Fantasy Score,3.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Ednel_B%C3%A1ez_MLB_player_XE8WbMUUxkOKtOb0OUgFCdaV-450.webp,13785574,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.370,,,,No,CWS,4.37,1.82,52.25496914,47.74503086,52.25496914,4.37,23,-0.01037,under,3.57,4.359626,3.17,0.07,Good Bet
PrizePicks,MLB,330812,Max Clark,OF,DET,Hitter Fantasy Score,3.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Max Clark.png,13785577,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.940,,,,No,CWS,4.94,2.28,53.77417316,46.22582684,53.77417316,4.94,23,-0.013,under,4.99,4.927004,4.59,-0.22,Great Bet
PrizePicks,MLB,315527,Drew Romo,C,CWS,Hitter Fantasy Score,3,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Drew Romo.png,13785580,,,,,,Over,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,3.510,,,,No,CHWDET,3.51,1.72,49.42539396,50.57460604,49.42539396,3.51,,0,,2.67,,2.31,0.05,Good Bet
