Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,PrizePicks Line,Callout Bet Tag
Underdog,MLB,,Bo Bichette,3B,,Batter Walks,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,26.29,73.71,-9.62,73.71,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-280.00,-280,7/30/2026,0.2629,,,,No,,,3.5,23.11812247,76.88,23.11812247,0.26,,0,,0.26,,0.26,0,Push
Underdog,MLB,,Bo Bichette,3B,,Stolen Bases,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,9.77,90.23,-1.51,90.23,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-924.00,6/19/1897,7/30/2026,0.0977,,,,No,,,3.5,25.83293483,74.17,25.83293483,0.10,,0,,0.1,,0.23,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,Doubles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,19.52,80.48,-5.44,80.48,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-412.00,-412,7/30/2026,0.1952,,,,No,,,3.5,29.36186277,70.64,29.36186277,0.20,,0,,0.2,,0.3,0.5,Push
Underdog,MLB,,Marcus Semien,2B,,Hits + Runs + RBIs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,58.96,41.04,-1.36,58.96,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-144.00,-144,7/30/2026,0.5896,,,,No,,,3.5,44.545094,55.45,44.545094,0.59,,0,,0.59,,0.59,0,Great Bet
Underdog,MLB,,Marcus Semien,2B,,Home Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,13.73,86.27,-1.44,86.27,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-628.00,4/11/1898,7/30/2026,0.1373,,,,No,,,3.5,27.28699997,72.71,27.28699997,0.14,,0,,0.14,,0.26,0.5,Push
Underdog,MLB,,Marcus Semien,2B,,Hitter Fantasy Score,5.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,,,,,,,,,,,,Marlins @ Mets,2026-07-30T23:10:00Z,7/30/2026,Citi Field,outdoor,,,,,,,,,No,,,3.5,,,,0.00,,0,,6.44,,6.44,0,Push
Underdog,MLB,,Marcus Semien,2B,,Hits,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,52.88,47.12,-0.82,52.88,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-112.00,-112,7/30/2026,0.5288,,,,No,,,3.5,40.21407975,59.79,40.21407975,0.53,,0,,0.53,,0.52,0.5,Good Bet
Underdog,MLB,,Marcus Semien,2B,,Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,34.45,65.55,-1.56,65.55,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-190.00,-190,7/30/2026,0.3445,,,,No,,,3.5,34.44298736,65.56,34.44298736,0.34,,0,,0.34,,0.4,0.5,Push
Underdog,MLB,,Marcus Semien,2B,,RBIs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,27.44,72.56,-6.39,72.56,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-264.00,-264,7/30/2026,0.2744,,,,No,,,3.5,32.10447097,67.90,32.10447097,0.27,,0,,0.27,,0.35,0.5,Push
Underdog,MLB,,Marcus Semien,2B,,Singles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260515_15-c2d72221-932c-4155-9121-eaa87cfed176.png,,0.5,36.92,63.08,-6.62,63.08,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-171.00,-171,7/30/2026,0.3692,,,,No,,,3.5,35.24763753,64.75,35.24763753,0.37,,0,,0.37,,0.41,0.5,Push
